OBJECTID,NEIGHBOURHOOD_NAME,HOOD_158,ASSAULT_2022,ASSAULT_2023,ASSAULT_2024,AUTOTHEFT_2022,AUTOTHEFT_2023,AUTOTHEFT_2024,BREAKENTER_2022,BREAKENTER_2023,BREAKENTER_2024,ROBBERY_2022,ROBBERY_2023,ROBBERY_2024,THEFTFROMMV_2022,THEFTFROMMV_2023,THEFTFROMMV_2024,POPULATION_2024,Shape__Area,Shape__Length
69,Clairlea-Birchmount,120,252,279,369,72,121,139,77,59,58,18,21,14,116,90,86,30413,7397931.57397461,16486.0654452645
70,Wexford/Maryvale,119,212,258,361,130,208,182,75,77,67,40,30,46,141,119,125,30622,10264126.3745117,14186.799529797
71,Tam O'Shanter-Sullivan,118,114,134,118,78,103,73,35,43,44,32,21,25,100,70,56,31562,5421907.20019531,10749.9966236586
72,Steeles,116,44,49,50,41,63,43,33,27,27,7,7,9,41,23,15,25870,4561098.04492188,8964.60086803805
73,Mount Dennis,115,119,124,133,39,55,37,24,31,32,7,7,15,38,32,34,14549,2129361.63085938,6852.14104600924
74,Lambton Baby Point,114,54,31,44,24,22,8,11,15,15,1,5,3,6,8,10,8598,1782160.22265625,8074.06270249685
75,Weston,113,242,242,257,99,108,90,46,61,53,32,36,56,86,60,70,21585,2565620.89819336,10202.5084095516
76,Beechborough-Greenbrook,112,71,88,97,21,23,32,13,24,15,2,13,12,25,13,22,7717,1833583.37817383,6414.63723799029
77,Rockcliffe-Smythe,111,174,179,200,62,77,57,33,53,35,19,20,11,59,92,81,23984,5070942.53564453,11620.7453970318
78,Keelesdale-Eglinton West,110,104,106,84,29,34,23,17,29,14,10,25,10,34,22,53,12334,1750632.40014648,5675.40834137485
79,Palmerston-Little Italy,80,84,79,69,27,13,15,36,35,44,11,20,8,35,30,10,14240,1435255.54345703,4967.49937721841
80,University,79,99,130,140,13,9,13,39,55,53,15,15,19,39,40,40,8366,1405204.4987793,4971.74289705384
81,Kensington-Chinatown,78,409,482,477,41,48,26,105,145,152,50,46,62,97,104,306,23271,1534624.3059082,5024.35267570997
82,North St.James Town,74,224,272,283,15,10,12,38,40,46,24,27,36,65,59,64,21290,423922.603271484,2574.40326107591
83,Moss Park,73,548,617,594,59,43,37,129,146,124,66,56,74,92,108,103,28930,1396902.2878418,6369.58565334189
84,Regent Park,72,126,160,165,11,14,14,25,40,28,12,20,26,27,34,18,16686,650277.03125,3258.90032155151
85,Cabbagetown-South St.James Town,71,134,133,138,18,19,14,65,53,49,22,14,29,51,46,35,12676,1417918.51928711,5759.06262752587
86,South Riverdale,70,300,330,305,77,82,88,101,96,94,39,43,41,80,90,108,31452,11030185.232666,42678.1504457333
87,Blake-Jones,69,48,77,60,9,6,5,23,34,13,10,11,17,14,15,21,8157,941209.260253906,4042.83762584962
88,North Riverdale,68,78,79,63,29,27,24,30,32,21,11,8,9,29,20,26,12164,1786063.19213867,5475.70847607407
89,Playter Estates-Danforth,67,97,108,110,19,33,17,31,25,41,14,19,13,43,26,37,8177,887588.452148438,4501.78910920767
90,Danforth,66,129,137,125,24,26,24,58,24,13,24,20,24,41,28,32,9913,1119675.31640625,6233.29023224189
91,Greenwood-Coxwell,65,113,129,120,23,30,45,35,22,45,32,7,11,40,36,49,15585,1675165.80297852,6843.0068886632
92,Woodbine Corridor,64,109,100,105,18,32,21,23,25,21,8,7,5,24,34,20,13352,1595664.3737793,5428.02138814825
93,The Beaches,63,117,114,141,54,59,59,43,39,30,20,18,11,50,49,35,23280,3595720.48486328,11297.1740986166
94,East End-Danforth,62,219,217,199,41,51,44,69,44,64,24,17,31,83,65,48,24390,2638981.39208984,7373.0721817403
95,Taylor-Massey,61,115,142,147,15,28,13,25,18,20,10,29,16,58,33,33,16617,1062886.52294922,5941.40034404397
96,Woodbine-Lumsden,60,41,32,53,22,16,10,6,12,14,5,0,9,15,13,20,8568,1196277.1640625,4871.17849073059
97,Danforth East York,59,69,100,78,51,51,41,26,12,20,5,4,5,49,45,37,18201,2188610.31005859,7623.95239240969
98,Old East York,58,68,63,74,22,32,22,22,7,9,7,6,9,27,27,26,9731,2349869.3762207,7485.02139969222
99,Runnymede-Bloor West Village,89,43,59,51,30,43,25,22,32,29,13,18,6,19,19,16,11216,1593616.31176758,6747.78843752808
100,High Park North,88,138,186,171,37,42,35,32,57,58,18,24,25,55,26,43,24203,1882260.83129883,6319.69544078773
101,High Park-Swansea,87,93,106,110,75,54,32,50,51,51,10,9,15,41,40,59,24988,5357614.60986328,10600.0012077129
102,Roncesvalles,86,110,137,173,23,27,20,53,49,71,18,22,6,45,39,29,15749,1504504.51928711,6163.74118560016
103,South Parkdale,85,260,321,279,32,43,47,61,63,49,7,22,16,55,34,38,25853,2287026.29760742,10818.6013779085
104,Little Portugal,84,106,129,154,26,23,22,32,32,42,14,14,24,30,44,43,17600,1216333.33007813,5440.80926362607
105,Dufferin Grove,83,84,144,182,10,18,19,27,36,48,17,28,18,23,39,30,12696,1387929.25976563,5148.23705892718
106,Trinity-Bellwoods,81,142,135,178,29,28,25,69,73,80,31,25,8,37,40,54,17146,1729614.94775391,5343.06048878188
107,Don Valley Village,47,116,165,181,70,163,132,31,45,49,29,28,38,80,104,55,30772,4212455.24804688,8326.57889326257
108,Pleasant View,46,33,52,51,28,46,37,15,17,13,11,14,9,52,36,27,16967,2967457.81640625,7944.79984789075
109,Flemingdon Park,44,140,167,156,22,38,50,22,24,19,13,12,6,27,49,73,26143,2473284.11743164,8487.7664742086
110,Victoria Village,43,117,146,113,35,55,85,38,25,27,10,16,7,58,55,33,19341,4755237.52075195,11802.19690199
111,Banbury-Don Mills,42,108,129,141,56,155,91,47,100,85,20,24,20,52,65,70,34089,10040970.3603516,18186.1082922431
112,Bridle Path-Sunnybrook-York Mills,41,35,47,40,60,81,33,45,96,71,3,3,14,16,26,17,12137,8839357.12207031,15670.6956658261
113,St.Andrew-Windfields,40,61,61,91,86,138,84,52,90,101,8,15,24,52,34,33,18858,7345556.16967773,12863.4205505562
114,Bedford Park-Nortown,39,42,51,75,172,228,101,64,122,99,12,12,42,53,71,36,25101,5518287.3034668,12817.1292903363
115,Lansing-Westgate,38,66,89,100,66,120,53,37,55,25,14,25,24,50,56,35,18262,5346280.25976563,11112.2293942319
116,Willowdale West,37,119,115,108,45,62,26,30,40,21,3,38,21,46,53,38,20124,2883426.34277344,7476.86611435969
117,Newtonbrook West,36,224,200,232,173,218,112,36,53,31,30,30,41,108,150,77,26703,4695659.51635742,8634.15193044842
118,Westminster-Branson,35,88,120,133,84,84,58,31,29,18,14,4,10,137,69,48,28654,3667829.23828125,11497.2927806625
119,Bathurst Manor,34,55,86,140,78,76,53,24,42,22,18,16,6,96,56,45,17529,4760369.45043945,14571.4963147757
120,Clanton Park,33,116,134,137,163,154,111,39,69,44,17,16,18,63,72,46,20967,4166282.87792969,10224.4351519818
121,Englemount-Lawrence,32,86,124,117,61,72,30,15,49,24,5,17,16,51,54,35,24662,3478125.58959961,8311.87185600747
122,Yorkdale-Glen Park,31,179,202,208,196,202,112,59,154,72,32,74,68,130,118,98,20454,6038309.47363281,10079.377511977
123,Brookhaven-Amesbury,30,145,163,136,67,77,54,20,39,45,12,30,19,49,54,57,19410,3507312.7668457,8980.39928031823
124,Maple Leaf,29,56,50,46,47,48,43,21,17,17,5,5,2,19,17,15,11198,2526495.24829102,6377.82447047491
125,Rustic,28,82,89,108,36,36,26,10,19,14,4,2,12,26,14,37,10805,2096378.20776367,5889.05410619556
126,York University Heights,27,345,406,421,235,264,225,128,218,130,51,104,72,215,178,163,32279,13246479.3210449,18511.6921722698
127,Glenfield-Jane Heights,25,271,325,364,155,120,103,34,43,36,29,31,29,81,53,64,32543,5150697.5246582,11459.9417593974
128,Broadview North,57,60,81,91,15,17,15,17,22,20,2,3,5,33,28,20,11992,1745977.7956543,7178.09952140759
129,Leaside-Bennington,56,34,38,25,79,113,75,42,49,30,5,5,5,62,54,27,17990,4784981.41235352,14837.3974655056
130,Thorncliffe Park,55,113,128,145,33,56,50,52,49,47,18,12,9,61,33,55,23182,3126357.20996094,7503.56591909032
131,O'Connor-Parkview,54,161,133,138,42,61,55,47,44,29,8,3,6,42,38,42,20977,4876711.36645508,10926.9770729977
132,Henry Farm,53,90,105,115,32,69,38,36,25,19,10,13,3,83,88,28,25482,2593567.26464844,8182.26332095287
133,Bayview Village,52,119,137,121,61,98,65,30,66,61,10,9,32,68,116,45,28366,5159113.55322266,9504.16981183269
134,Newtonbrook East,50,88,87,105,62,76,53,38,36,35,10,21,27,48,43,47,18201,4084668.73413086,8094.49089354603
135,Bayview Woods-Steeles,49,39,59,48,14,35,20,10,27,52,2,7,4,19,33,14,14142,4088940.43432617,8253.11483919459
136,Hillcrest Village,48,46,67,65,16,74,51,31,40,36,32,13,28,46,42,25,17824,5395573.67089844,9570.81675006214
137,Alderwood,20,43,44,49,69,50,51,42,20,32,7,8,1,31,16,21,13746,4978387.91552734,9168.59613520858
138,Long Branch,19,90,95,77,34,37,29,33,27,21,7,7,5,30,19,23,12690,2261913.66674805,7808.45161974756
139,New Toronto,18,163,168,166,43,38,34,24,38,24,16,16,7,48,36,23,12645,3483680.29052734,11167.2271212586
140,Stonegate-Queensway,16,102,138,141,142,149,80,44,101,89,7,18,11,105,69,47,28740,7945942.4597168,11852.9163248028
141,Kingsway South,15,21,63,48,68,90,30,13,55,34,8,8,7,22,13,24,10108,2638166.81445313,8062.16138873272
142,Etobicoke West Mall,13,50,65,62,31,65,44,21,12,11,4,1,3,54,49,23,14417,1796406.22192383,6475.59413914792
143,Markland Wood,12,35,44,50,31,49,40,12,14,21,11,3,5,40,23,20,11398,2953929.625,7845.48598147479
144,Eringate-Centennial-West Deane,11,59,90,88,91,120,95,18,31,31,13,13,6,60,45,51,20359,8645665.69702148,15361.9157581881
145,Princess-Rosethorn,10,28,25,41,62,119,44,13,63,46,2,12,1,27,19,28,12982,5171364.56860352,11052.1232494944
146,Edenbridge-Humber Valley,9,32,53,69,76,117,48,30,63,58,6,7,2,39,28,24,18129,5511639.08691406,11180.3434916878
147,Humber Heights-Westmount,8,32,52,56,29,25,32,10,12,18,9,6,13,18,20,18,11701,2802718.31005859,9088.13335479588
148,Willowridge-Martingrove-Richview,7,98,122,106,107,106,80,27,31,44,15,17,12,66,61,63,24894,5517456.69238281,12059.1831483176
149,Kingsview Village-The Westway,6,132,152,146,121,115,75,15,41,25,10,23,19,69,100,69,23865,5063357.91357422,10449.2474354457
150,Elms-Old Rexdale,5,64,61,87,60,39,52,9,16,11,15,14,21,31,43,40,10152,2931077.00854492,9356.74751418956
151,Rexdale-Kipling,4,59,77,94,58,75,41,21,16,23,13,24,25,52,47,31,11383,2505653.47436523,7067.21347680557
152,Thistletown-Beaumond Heights,3,52,65,79,55,49,35,17,23,23,16,12,9,22,55,41,11197,3339551.82373047,10828.6020136539
153,Mount Olive-Silverstone-Jamestown,2,262,294,339,119,151,82,26,24,29,54,53,43,84,121,88,34946,4637601.69140625,12968.3564893043
154,West Humber-Clairville,1,264,322,350,781,837,641,136,212,155,70,77,64,464,315,267,37783,30145338.8083496,27923.9623863216
155,Black Creek,24,243,230,266,76,84,60,33,29,21,19,28,29,42,54,58,23038,3453854.96728516,8441.43282420329
156,Pelmo Park-Humberlea,23,80,104,100,94,108,64,32,23,29,7,13,8,42,24,44,12725,4276214.27880859,13837.2521138853
157,Humbermede,22,109,159,191,105,122,113,35,29,23,37,13,19,45,77,40,19618,4421686.40917969,12445.8752892806
158,Humber Summit,21,140,164,139,176,132,114,55,90,47,33,25,26,85,88,58,14066,7966913.71899414,12622.3100909753
